email_text,label
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
"Hey John, are we still on for the meeting tomorrow at 10 AM?",0
URGENT: Your bank account will be suspended. Click here to verify your identity.,1
Please find attached the Q3 financial report for your review.,0
Congratulations! You have won a $1000 Walmart gift card. Claim it now before it expires!,1
Can you pick up some milk on your way home?,0
Action Required: Update your PayPal billing information immediately to avoid service interruption.,1
